FSA,bedrooms,bathrooms,sqft,lot_sqft
L0G,3.0,3.0,,
L0J,4.0,6.0,,
L3P,4.0,3.0,2130.0,
L3R,4.0,4.0,2026.0,
L3S,4.0,4.0,,
L3T,3.0,3.0,8103.0,
L4B,4.0,5.0,695.0,
L4C,4.0,3.0,1761.0,
L4E,4.0,4.0,3869.0,
L4G,4.0,3.0,3079.0,
L4H,4.0,4.0,2300.0,
L4J,4.0,4.0,607.0,
L4K,2.0,2.0,818.0,
L4L,3.0,4.0,2666.0,
L4S,4.0,4.0,,
L6A,4.0,4.0,1116.0,
L6B,4.0,3.0,4304.0,
L6C,4.0,4.0,8552.0,
L6E,4.0,3.0,,
L6G,2.0,2.0,,
L6H,3.0,3.0,1972.0,
L6J,4.0,4.0,4080.0,
L6K,4.0,4.0,3077.0,
L6L,4.0,3.0,3097.0,
L6M,3.0,4.0,1952.0,
M1B,3.0,2.0,,
M1C,4.0,4.0,,
M1E,3.0,2.0,,
M1G,2.0,2.0,,
M1H,2.0,2.0,,
M1J,2.0,2.0,,
M1K,3.0,3.0,,
M1L,3.0,3.0,,
M1M,4.0,3.0,,
M1N,3.0,2.0,1400.0,
M1P,3.0,2.0,1650.0,
M1R,3.0,3.0,,
M1S,2.0,2.0,,
M1T,3.0,2.0,,
M1V,4.0,3.0,,
M1W,4.0,4.0,,
M1X,4.0,4.0,,
M2H,3.0,2.0,,
M2J,2.0,2.0,1261.0,
M2K,2.0,2.0,,
M2L,6.0,7.0,,
M2M,4.0,3.0,,
M2N,2.0,2.0,952.0,
M2P,3.0,3.0,,
M2R,3.0,2.0,,
M3A,3.0,2.0,,
M3B,4.0,3.0,,
M3C,2.0,2.0,,
M3H,3.0,2.0,,
M3J,2.0,2.0,,
M3K,4.0,2.0,,
M3L,3.0,3.0,,
M3M,3.0,2.0,,
M3N,3.0,2.0,,
M4B,2.0,2.0,,
M4C,3.0,2.0,,
M4E,2.0,2.0,,
M4G,3.0,2.0,,
M4H,2.0,2.0,,
M4J,3.0,2.0,,
M4K,2.0,2.0,,
M4L,3.0,2.0,1085.0,
M4M,2.0,2.0,,
M4N,4.0,4.0,,
M4P,1.0,2.0,,
M4R,3.0,2.0,,
M4S,1.0,1.0,,
M4T,2.0,2.0,,
M4V,2.0,2.0,1360.0,
M4W,2.0,2.0,,
M4X,2.0,2.0,,
M4Y,2.0,1.0,570.0,
M5A,2.0,2.0,,
M5B,1.0,1.0,,
M5E,1.0,1.0,,
M5G,1.0,2.0,,
M5H,2.0,2.0,,
M5J,2.0,2.0,4800.0,
M5M,4.0,5.0,1400.0,
M5N,1.0,1.0,,
M5P,4.0,2.0,,
M5R,3.0,3.0,2425.0,
M5S,2.0,2.0,1150.0,
M5T,2.0,2.0,,
M5V,1.0,1.0,842.0,
M6A,4.0,4.0,2480.0,
M6B,3.0,2.0,1600.0,
M6C,3.0,2.0,,
M6E,3.0,2.0,952.0,
M6G,4.0,2.0,3300.0,
M6H,4.0,3.0,,
M6J,2.0,2.0,,
M6K,2.0,2.0,638.0,
M6L,4.0,2.0,,
M6M,3.0,2.0,,
M6N,3.0,2.0,1078.0,
M6P,2.0,2.0,2041.0,
M6R,3.0,2.0,,
M6S,3.0,1.0,,
M8V,2.0,2.0,,
M8W,3.0,2.0,2000.0,
M8X,2.0,2.0,,
M8Y,3.0,2.0,2357.0,
M8Z,2.0,2.0,694.0,
M9A,2.0,2.0,850.0,
M9B,2.0,2.0,1222.0,
M9C,2.0,2.0,1226.0,
M9L,4.0,2.0,,
M9M,4.0,2.0,,
M9N,3.0,2.0,,
M9P,3.0,2.0,,
M9R,3.0,2.0,900.0,
M9V,3.0,2.0,1806.0,
M9W,3.0,2.0,2600.0,
N3S,4.0,4.0,,
